Colony,Day,Total,Died,Survived
1,11,47,13,NA
2,11,117,15,NA
3,11,84,4,NA
4,13,73,8,NA
5,13,68,9,NA
6,NA,NA,NA,NA
7,11,120,18,NA
8,11,71,12,NA
9,11,97,36,NA
10,13,70,38,NA
11,13,88,28,NA
12,NA,NA,NA,NA
13,NA,NA,NA,NA
14,11,111,20,NA
15,11,114,12,NA
16,13,67,7,NA
17,NA,NA,NA,NA
18,13,169,18,NA
19,11,72,18,NA
20,11,58,2,NA
21,11,86,2,NA
22,13,70,13,NA
23,13,124,4,NA
24,13,102,6,NA
1,NA,NA,NA,NA
2,21,43,14,NA
3,21,94,24,NA
4,22,149,65,NA
5,22,165,61,NA
6,NA,NA,NA,NA
7,21,80,43,NA
8,NA,NA,NA,NA
9,21,83,37,NA
10,22,141,100,NA
11,22,115,70,NA
12,22,104,13,NA
13,21,130,7,NA
14,21,98,28,NA
15,21,193,49,NA
16,22,72,31,NA
17,NA,NA,NA,NA
18,22,71,27,NA
19,21,55,38,NA
20,21,86,23,NA
21,21,181,26,NA
22,22,99,26,NA
23,22,89,25,NA
24,NA,NA,NA,NA
1,29,97,38,NA
2,29,66,12,NA
3,29,76,26,NA
4,29,56,11,NA
5,29,56,23,NA
6,29,57,15,NA
7,29,85,9,NA
8,29,84,36,NA
9,29,48,10,NA
10,29,85,8,NA
11,29,54,12,NA
12,29,71,6,NA
13,29,36,13,NA
14,29,50,4,NA
15,29,52,5,NA
16,29,26,2,NA
17,NA,NA,NA,NA
18,29,71,71,NA
19,29,98,9,NA
20,29,97,35,NA
21,29,91,11,NA
22,NA,NA,NA,NA
23,NA,NA,NA,NA
24,29,71,35,NA
