"Colony","Day","Multiplier","PollenWeightG"
7,14,1,36.51
8,14,1,32.75
9,14,1,36.71
10,14,1,33.9
11,14,1,27.02
12,14,1,38.32
13,14,1,20.93
14,14,1,40.45
15,14,1,47.55
16,14,1,34.02
17,14,1,82.38
18,14,1,18.91
19,14,1,25.6
20,14,1,21.44
21,14,1,25.76
22,14,1,11.07
23,14,1,64.7
24,14,1,22.85
1,15,1,48.42
2,15,1,32.75
3,15,1,104.24
4,15,1,79.11
5,15,1,39.98
6,15,1,21.5
7,15,1,93.23
8,15,1,97.42
9,15,1,78.32
10,15,1,67.76
11,15,1,52.94
12,15,1,81.26
13,15,1,42.95
14,15,1,84.43
15,15,1,107.64
16,15,1,86.95
17,15,1,133.86
18,15,1,32.21
19,15,1,47.01
20,15,1,43.01
21,15,1,51.08
22,15,1,47.25
23,15,1,136.75
24,15,1,63.95
1,16,0,NA
2,16,0,NA
3,16,0,NA
4,16,0,NA
5,16,0,NA
6,16,0,NA
7,16,0,NA
8,16,0,NA
9,16,0,NA
10,16,0,NA
11,16,0,NA
12,16,0,NA
13,16,0,NA
14,16,0,NA
15,16,0,NA
16,16,0,NA
17,16,0,NA
18,16,0,NA
19,16,0,NA
20,16,0,NA
21,16,0,NA
22,16,0,NA
23,16,0,NA
24,16,0,NA
1,17,1,30.15
2,17,1,52.51
3,17,1,54.11
4,17,1,61.86
5,17,1,31.57
6,17,1,10.08
7,17,1,38.48
8,17,1,46.64
9,17,1,51.26
10,17,1,45.86
11,17,1,39.37
12,17,1,28.41
13,17,1,27.85
14,17,1,42.5
15,17,1,62
16,17,1,61.55
17,17,1,64.25
18,17,1,19.5
19,17,1,34.18
20,17,1,24.27
21,17,1,41.16
22,17,1,29.4
23,17,1,101.46
24,17,1,53.55
1,18,1,28.84
2,18,1,50.06
3,18,1,42.5
4,18,1,38.29
5,18,1,28.34
6,18,1,11.86
7,18,1,28.71
8,18,1,45.76
9,18,1,27.91
10,18,1,26.26
11,18,1,23.93
12,18,1,12.39
13,18,1,32.92
14,18,1,40.35
15,18,1,39.07
16,18,1,42.13
17,18,1,46.1
18,18,1,14.41
19,18,1,23.94
20,18,1,17.32
21,18,1,30.34
22,18,1,25.41
23,18,1,81.05
24,18,1,54.53
1,19,1,20.3
2,19,1,37.13
3,19,1,30.9
4,19,1,25.44
5,19,1,18.72
6,19,1,7.32
7,19,1,22.84
8,19,1,28.1
9,19,1,41.96
10,19,1,28.74
11,19,1,21.86
12,19,1,10.04
13,19,1,19.12
14,19,1,25.64
15,19,1,27.97
16,19,1,35.86
17,19,1,44.66
18,19,1,15.33
19,19,1,21.97
20,19,1,15.73
21,19,1,28.06
22,19,1,11.84
23,19,1,58.98
24,19,1,36.91
1,20,1,27.51
2,20,1,47.14
3,20,1,36.04
4,20,1,28.27
5,20,1,20.66
6,20,1,6.95
7,20,1,24.63
8,20,1,50.87
9,20,1,34.11
10,20,1,32.85
11,20,1,24.52
12,20,1,8.31
13,20,1,21.26
14,20,1,26.7
15,20,1,45.52
16,20,1,38.89
17,20,1,50.4
18,20,1,23.72
19,20,1,30.45
20,20,1,21.5
21,20,1,32.17
22,20,1,20.47
23,20,1,58.55
24,20,1,52.91
1,21,1,22.03
2,21,1,45.55
3,21,1,34.95
4,21,1,23.6
5,21,1,22.08
6,21,1,7.39
7,21,1,33.45
8,21,1,58.01
9,21,1,22.92
10,21,1,26.5
11,21,1,22.1
12,21,1,13.23
13,21,1,22.91
14,21,1,33.21
15,21,1,55.32
16,21,1,39.32
17,21,1,44.74
18,21,1,13.82
19,21,1,23.09
20,21,1,15.24
21,21,1,28.62
22,21,1,16.48
23,21,1,65
24,21,1,50.89
1,22,0,NA
2,22,0,NA
3,22,0,NA
4,22,0,NA
5,22,0,NA
6,22,0,NA
7,22,0,NA
8,22,0,NA
9,22,0,NA
