Colony,Mixed,Neonic,Yard
1,1,0,UD
2,1,0,UD
3,1,0,UD
4,1,0,UD
5,1,0,UD
6,1,0,UD
7,0,0,UD
8,0,0,UD
9,0,0,UD
10,0,0,UD
11,0,0,UD
12,0,0,UD
13,0,1,UD
14,0,1,UD
15,0,1,UD
16,0,1,UD
17,0,1,UD
18,0,1,UD
19,1,1,UD
20,1,1,UD
21,1,1,UD
22,1,1,UD
23,1,1,UD
24,1,1,UD
