Colony,CombArea,Day
1,86,13
2,0,13
3,128,13
4,160,13
5,50,13
6,134,13
7,166,13
8,101,13
9,138,13
10,136,13
12,0,13
13,95,13
14,137,13
15,92,13
16,4,13
17,145,13
18,155,13
19,126,13
20,92,13
21,37,13
22,99,13
1,90,20
2,113,20
3,109,20
4,312,20
5,84,20
6,146,20
7,204,20
8,143,20
9,131,20
10,122,20
12,128,20
13,119,20
16,169,20
17,121,20
18,155,20
19,107,20
21,122,20
22,126,20
